state	pTTree	pPTree	neg	off.r	off.p	pi	w.shape	w.scale	ws.shape	ws.scale
2900	232.455671567759	151.253454915509	0.213986975203064	3.23162078205496	0.278046771138906	0.398345619440079	8.7	0.0046	8.7	0.0046
3000	229.217823658732	149.103539914874	0.800617906559986	1.4141291284468	0.500256770057603	0.36193360965699	8.7	0.0046	8.7	0.0046
3100	229.887151460912	148.017515123167	0.403927453847806	1.67046347400174	0.420665295235812	0.402646358893254	8.7	0.0046	8.7	0.0046
3200	224.052824700164	146.621370305978	0.116003511535731	2.29704657732509	0.363563142810016	0.432955261389726	8.7	0.0046	8.7	0.0046
3300	220.394387798305	149.08789902878	0.0296821295593113	3.10378094413318	0.283103991905226	0.341775142215193	8.7	0.0046	8.7	0.0046
3400	232.429567828562	148.185148870375	0.292999055764434	1.47091962897684	0.45686456223484	0.365178368752823	8.7	0.0046	8.7	0.0046
3500	229.965259587557	147.837339065152	3.09646324889435	1.92494705854915	0.432944950810633	0.452542766183615	8.7	0.0046	8.7	0.0046
3600	206.071831274377	149.307965542119	4.97776379256209	1.42605012201238	0.50714986657258	0.377007184363903	8.7	0.0046	8.7	0.0046
3700	225.600860381128	148.117170357895	2.55856818467544	1.03772862197366	0.560128229507244	0.46223566448316	8.7	0.0046	8.7	0.0046
3800	234.795850408051	148.182943599839	1.93156326533461	2.01130641519558	0.388900106889195	0.362609319156037	8.7	0.0046	8.7	0.0046
3900	225.399766416846	148.858165236121	1.48180150037332	1.16378786577843	0.491726824035868	0.442326865345241	8.7	0.0046	8.7	0.0046
4000	225.213618584786	147.218991333831	1.95373546652662	1.73773758264724	0.45624840541277	0.305999051220716	8.7	0.0046	8.7	0.0046
4100	218.044200751648	147.894854574388	0.323631884243135	2.36917846265715	0.327903511328622	0.527989131538198	8.7	0.0046	8.7	0.0046
4200	220.743929411489	148.724384144393	0.731676483930292	1.90342396672349	0.424615202588028	0.604884523595684	8.7	0.0046	8.7	0.0046
4300	220.829298478444	149.990590198228	0.201696693377365	1.59833096642978	0.377659026440232	0.334694368857891	8.7	0.0046	8.7	0.0046
4400	216.549229297838	150.876359677469	0.619429723189008	0.923861169372685	0.594179818499832	0.630622444394976	8.7	0.0046	8.7	0.0046
4500	220.103407298672	149.647910541266	1.43049190269483	0.745556651847437	0.613654113933442	0.295883712614887	8.7	0.0046	8.7	0.0046
4600	228.414107296254	149.853275568112	1.61142755631989	1.62421223486308	0.432359409565104	0.436705494183116	8.7	0.0046	8.7	0.0046
4700	225.900494776975	150.731754409917	0.879056262845901	1.14163018588442	0.541485529555938	0.264712551841513	8.7	0.0046	8.7	0.0046
4800	230.158334607713	148.040900846235	0.130311682525295	0.819020017981529	0.631305353040805	0.359124224330299	8.7	0.0046	8.7	0.0046
4900	224.352243547272	148.170483629549	1.3789212105952	1.43931947776582	0.432604282535611	0.426484570442699	8.7	0.0046	8.7	0.0046
5000	217.855472127136	146.919331991733	3.46235631226262	1.09183692024089	0.576408234983681	0.46915266935248	8.7	0.0046	8.7	0.0046
5100	226.065307432861	143.622168397816	1.41746814834586	1.56596162077039	0.470591912977396	0.526639532926493	8.7	0.0046	8.7	0.0046
5200	228.344951652004	147.411566364652	2.13092291629108	2.56149010383524	0.288163471757433	0.497375580482186	8.7	0.0046	8.7	0.0046
5300	237.06471537605	147.064853041962	0.169641717740538	2.64016345969867	0.32076187415514	0.42151822668966	8.7	0.0046	8.7	0.0046
5400	231.939388765444	150.145781069629	1.2926814875642	2.0320258194115	0.334556813025846	0.453862563730219	8.7	0.0046	8.7	0.0046
5500	234.566581499974	148.821874237367	2.99285748280419	1.17524295218755	0.490967084909788	0.464686524006539	8.7	0.0046	8.7	0.0046
5600	223.734660500595	149.411940742652	1.50671926250981	1.1901921533281	0.482314891042187	0.472945273970255	8.7	0.0046	8.7	0.0046
5700	228.405134379907	151.031243453157	0.0753999129479928	1.32686587586068	0.454068546812049	0.42656034640968	8.7	0.0046	8.7	0.0046
5800	225.59526102724	150.110710453028	0.137598637545685	1.28315046662465	0.450315264123491	0.400225092959592	8.7	0.0046	8.7	0.0046
5900	217.263304037151	148.82940906502	0.888230681706424	2.75610826455522	0.273618535161949	0.41098050386645	8.7	0.0046	8.7	0.0046
6000	217.849133121015	148.247609431072	0.0809618408715176	1.59352045017295	0.466733239078893	0.42577595175244	8.7	0.0046	8.7	0.0046
6100	218.91232176106	149.441276326332	0.0454221718788324	1.85397206735797	0.376585353189147	0.50839615489822	8.7	0.0046	8.7	0.0046
6200	229.93924659272	148.471467636617	0.153748631190305	2.75195375201292	0.288372015184722	0.422413848107682	8.7	0.0046	8.7	0.0046
6300	211.101347674329	146.306430267458	0.0863113477204172	2.3764908289304	0.303289947542361	0.579229813208805	8.7	0.0046	8.7	0.0046
6400	221.476784215843	145.714557597119	1.1422047946213	1.88262337259948	0.378102343878708	0.430618657823653	8.7	0.0046	8.7	0.0046
6500	212.279728356535	149.312238792101	0.128828416989912	1.48792529513594	0.495154465269296	0.444245301582852	8.7	0.0046	8.7	0.0046
6600	224.290836997086	147.567837522458	1.32782704272142	2.91430365398992	0.325071424990891	0.455622594826856	8.7	0.0046	8.7	0.0046
6700	216.046003891185	147.87214907764	1.61123583529444	3.31783060205635	0.25533614042215	0.535362694668585	8.7	0.0046	8.7	0.0046
6800	227.665496127552	148.258148788368	0.66551077429505	2.34851616760716	0.356845561135559	0.512980703683572	8.7	0.0046	8.7	0.0046
6900	234.420559005459	151.053346456472	0.128407977117953	4.04926464916207	0.226309919776394	0.519166111852975	8.7	0.0046	8.7	0.0046
7000	243.350718120106	152.077455616874	0.0890564895777208	4.16445418645162	0.231530819996259	0.339398392499426	8.7	0.0046	8.7	0.0046
7100	230.619885854354	149.683583599681	0.266455727101508	3.38013789337128	0.258826242014765	0.587674729805442	8.7	0.0046	8.7	0.0046
7200	235.162154227508	148.875337386808	0.10882034961434	1.90284029603936	0.411655693571082	0.37123458068818	8.7	0.0046	8.7	0.0046
7300	228.003996801182	150.75206268903	0.444826625349728	0.818495031096973	0.616209923010319	0.414551738905722	8.7	0.0046	8.7	0.0046
7400	226.553706840289	147.031677397883	0.651432190851104	1.22291606408544	0.456619590451009	0.42752249503974	8.7	0.0046	8.7	0.0046
7500	236.631502053786	150.174333042931	0.148330829866958	1.27834436309058	0.465103312628343	0.537767042266207	8.7	0.0046	8.7	0.0046
7600	224.347279643617	148.700263863224	0.10717555105986	0.527558418223634	0.689666303736157	0.307985799154268	8.7	0.0046	8.7	0.0046
7700	225.392625541155	150.378974569455	0.197137641425448	1.12819304445293	0.4820493059	0.404101957730019	8.7	0.0046	8.7	0.0046
7800	229.924827398567	150.255508988146	0.0966135182494474	1.79891237488482	0.42254886738956	0.379510057670997	8.7	0.0046	8.7	0.0046
7900	222.889981497012	149.072620619131	0.177776500528474	2.20569623797201	0.430853477586061	0.447817836026662	8.7	0.0046	8.7	0.0046
8000	206.861886625882	148.345194452773	0.683140764299984	3.64288707997184	0.237152141169645	0.464553849515506	8.7	0.0046	8.7	0.0046
8100	202.358750181065	149.189412182599	0.451711222824437	4.40175626252312	0.233006198052317	0.576651516812855	8.7	0.0046	8.7	0.0046
8200	212.315374974497	149.386364859299	0.0511479377204376	4.55029278632719	0.236887439806015	0.523191398009659	8.7	0.0046	8.7	0.0046
8300	206.548846866599	149.408014550495	0.988124822561425	5.64177474263124	0.177386910095811	0.389434753218667	8.7	0.0046	8.7	0.0046
8400	213.718924851257	151.867549509671	0.0586489148514522	4.00214723183308	0.230475044972264	0.314148063538597	8.7	0.0046	8.7	0.0046
8500	201.701446057813	151.044752424642	0.173753730541299	4.14738122094423	0.286333836033009	0.263400527392515	8.7	0.0046	8.7	0.0046
8600	224.616052963806	150.860662046541	0.100792003392038	2.69567841186654	0.375710463384167	0.402636758075097	8.7	0.0046	8.7	0.0046
8700	231.11375003559	148.659253884187	0.139672084882128	1.82333724817727	0.398103820392862	0.476020439597779	8.7	0.0046	8.7	0.0046
8800	220.191621587073	149.424541348819	0.0813242678374229	2.18007981893606	0.35259198830463	0.554125927295537	8.7	0.0046	8.7	0.0046
8900	221.509393193119	149.097510921303	0.0316818180104894	1.87757368816528	0.438327300013043	0.51731177638285	8.7	0.0046	8.7	0.0046
9000	236.868787486303	148.745409008017	0.254396899781917	2.38152828125749	0.392426740005613	0.374622847838328	8.7	0.0046	8.7	0.0046
9100	228.115653471062	151.282470465927	1.03246758185959	1.3190987437265	0.532282699691132	0.37004856679123	8.7	0.0046	8.7	0.0046
9200	227.752293393688	155.158920967814	0.0440825376969007	1.74856437451672	0.449256346444599	0.420460453396664	8.7	0.0046	8.7	0.0046
9300	218.809230395991	150.354252832124	1.47080627217257	1.32838204491418	0.500370459537953	0.360496145579965	8.7	0.0046	8.7	0.0046
9400	224.25548346769	151.326240603519	0.875701857784967	1.48309433064424	0.478103752667084	0.42996057344135	8.7	0.0046	8.7	0.0046
9500	219.669869452131	150.346336782692	0.166691178859415	1.48435517156031	0.451412270590663	0.367078468925321	8.7	0.0046	8.7	0.0046
9600	221.721896282458	147.959291933229	1.0438821912354	1.2068909733789	0.565288434061221	0.332647437113338	8.7	0.0046	8.7	0.0046
9700	226.993141094351	148.960811756042	0.682085009121132	3.29116372903809	0.262147188163362	0.556995982793161	8.7	0.0046	8.7	0.0046
9800	214.672651898567	150.030508833862	0.182947635712829	2.26849457202479	0.373357242997735	0.527798954071478	8.7	0.0046	8.7	0.0046
9900	222.278210465761	152.852753038575	0.314292425119114	1.19790871278383	0.431725766975432	0.451751775271261	8.7	0.0046	8.7	0.0046
10000	217.171008275847	145.489592573195	0.47988441441374	1.70800910156686	0.444473773939535	0.538353983103299	8.7	0.0046	8.7	0.0046
